2026-04-24T10:53:54.659+08:00 [DEBU] {3c650393632ba9185d27ae5192885cbe} [  7 ms] [default] [gfast_v32] [rows:32 ] SHOW TABLES
2026-04-24T10:53:54.662+08:00 [DEBU] {3c650393632ba9185d27ae5192885cbe} [  3 ms] [default] [gfast_v32] [rows:14 ] SHOW FULL COLUMNS FROM `sys_job`
2026-04-24T10:53:54.668+08:00 [DEBU] {3c650393632ba9185d27ae5192885cbe} [  6 ms] [default] [gfast_v32] [rows:1  ] SELECT `job_id`,`job_name`,`job_params`,`job_group`,`invoke_target`,`cron_expression`,`misfire_policy`,`concurrent`,`status`,`created_by`,`updated_by`,`remark`,`created_at`,`updated_at` FROM `sys_job` WHERE `status`=0
2026-04-24T10:53:54.669+08:00 [DEBU] {3c650393632ba9185d27ae5192885cbe} [  0 ms] [default] [gfast_v32] [rows:0  ] UPDATE `sys_job` SET `status`=0 WHERE `job_id`=8
2026-04-24T10:54:24.633+08:00 [DEBU] {3c650393632ba9185d27ae5192885cbe} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT `job_id`,`job_name`,`job_params`,`job_group`,`invoke_target`,`cron_expression`,`misfire_policy`,`concurrent`,`status`,`created_by`,`updated_by`,`remark`,`created_at`,`updated_at` FROM `sys_job` WHERE `status`=0
2026-04-24T11:00:05.633+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:8  ] SHOW FULL COLUMNS FROM `sys_user_online`
2026-04-24T11:00:05.634+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T11:00:05.635+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T11:00:05.644+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  8 ms] [default] [gfast_v32] [rows:1  ] DELETE FROM `sys_user_online` WHERE `token`='7ZUSfVIf2HyYjcv86SKPPs29v003ECPEScsdYsYYqO1L4PqHm58EbUH4qSGESFpEeZY0/dANMBfsuTOwzNTF9TbL+ePHf13FoygiMF+NThpkxtEps6GgajH8+npxGZtVIY1sxMr0QE9lDJV71533Jw=='
2026-04-24T11:00:05.645+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T11:00:05.645+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 50,50
2026-04-24T11:00:05.647+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:4  ] SHOW FULL COLUMNS FROM `sys_job_log`
2026-04-24T11:00:05.650+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 11:00:05','在线用户定时更新，执行成功') 
